iter	Logloss
0	0.6244056206
1	0.5666060248
2	0.514020134
3	0.4606744653
4	0.4215721246
5	0.3831600956
6	0.3496772337
7	0.321535541
8	0.2920304935
9	0.2672791606
10	0.2478644575
11	0.2247233817
12	0.2069007109
13	0.1864774228
14	0.1715149086
15	0.1585178973
16	0.1450608949
17	0.1341426738
18	0.1216195498
19	0.1109395399
20	0.1019968216
21	0.09462395774
22	0.08521651249
23	0.07795341331
24	0.0724126594
25	0.06697044227
26	0.06218817143
27	0.05774249815
28	0.0529905603
29	0.04815467948
30	0.04454255476
31	0.04057974193
32	0.03757202656
33	0.03451564188
34	0.03216940193
35	0.03010373752
36	0.02808904223
37	0.02630628404
38	0.02451736229
39	0.02278496899
40	0.02147442453
41	0.02000710611
42	0.01856759366
43	0.01735227831
44	0.01615198953
45	0.0150114449
46	0.01397689364
47	0.01313015912
48	0.01227953553
49	0.0116290025
50	0.01089416343
51	0.0102525615
52	0.009731553299
53	0.009177695792
54	0.008711143141
55	0.00819922489
56	0.007742770479
57	0.007365351098
58	0.006984603513
59	0.006609488489
60	0.006312577268
61	0.006057098743
62	0.005802288318
63	0.005519844507
64	0.00529301922
65	0.00508840758
66	0.004897889589
67	0.004731201115
68	0.004557493901
69	0.004358985888
70	0.004178607894
71	0.004006249125
72	0.003874899642
73	0.003747787698
74	0.003582567559
75	0.003415454487
76	0.003299055646
77	0.003189638811
78	0.003076365443
79	0.002986951219
80	0.002894082875
81	0.002801071994
82	0.002712337228
83	0.002608956669
84	0.002534764763
85	0.002458355213
86	0.002394600675
87	0.002322790569
88	0.00225193447
89	0.002192366581
90	0.002128330532
91	0.002076699382
92	0.002016957646
93	0.001954351091
94	0.001899086109
95	0.00185227769
96	0.001812832639
97	0.001764578246
98	0.001726794179
99	0.001689239775
100	0.001652652269
101	0.001618831593
102	0.00158904274
103	0.001559311157
104	0.00152203038
105	0.001485839846
106	0.001458126855
107	0.001414422505
108	0.001378233044
109	0.001352837087
110	0.001330133892
111	0.001300663035
112	0.001276470719
113	0.00124908143
114	0.001227006564
115	0.001195340468
116	0.001167438072
117	0.001145106892
118	0.001125708511
119	0.001102795126
120	0.001081034251
